industry,level,qty,cost_money,coal,iron,vp,income_bonus,link_points,canal_only,rail_only,has_lightbulb,is_locked,beer_to_sell,resource_cap,resource_cap_rail
coal_mine,1,1,5,0,0,1,4,2,true,false,false,false,0,2,-1
coal_mine,2,2,7,0,0,2,7,1,false,false,false,false,0,3,-1
coal_mine,3,2,8,0,1,3,6,1,false,false,false,false,0,4,-1
coal_mine,4,2,10,0,1,4,5,1,false,false,false,false,0,5,-1
iron_works,1,1,5,1,0,3,3,1,true,false,false,false,0,4,-1
iron_works,2,1,7,1,0,5,3,1,false,false,false,false,0,4,-1
iron_works,3,1,9,1,0,7,2,1,false,false,false,false,0,5,-1
iron_works,4,1,12,1,0,9,1,1,false,false,false,false,0,6,-1
brewery,1,2,5,0,1,4,4,2,true,false,false,false,0,1,2
brewery,2,2,7,0,1,5,5,2,false,false,false,false,0,1,2
brewery,3,2,9,0,1,7,5,2,false,false,false,false,0,1,2
brewery,4,1,9,0,1,10,5,2,false,true,false,false,0,1,2
cotton_mill,1,3,12,0,0,5,5,1,true,false,false,false,1,0,-1
cotton_mill,2,2,14,1,0,5,4,2,false,false,false,false,1,0,-1
cotton_mill,3,3,16,1,1,9,3,1,false,false,false,false,1,0,-1
cotton_mill,4,3,18,1,1,12,2,1,false,false,false,false,1,0,-1
manufacturer,1,1,8,1,0,3,5,2,true,false,false,false,1,0,-1
manufacturer,2,2,10,0,1,5,1,1,false,false,false,false,1,0,-1
manufacturer,3,1,12,2,0,4,4,0,false,false,false,false,0,0,-1
manufacturer,4,1,8,0,1,3,6,1,false,false,false,false,1,0,-1
manufacturer,5,2,16,1,0,8,2,2,false,false,false,false,2,0,-1
manufacturer,6,1,20,0,0,7,6,1,false,false,false,false,0,0,-1
manufacturer,7,1,16,1,1,9,4,0,false,false,false,false,1,0,-1
manufacturer,8,2,20,0,2,11,1,1,false,false,false,false,1,0,-1
pottery,1,1,17,0,1,10,5,1,false,false,true,false,1,0,-1
pottery,2,1,0,1,0,1,1,1,false,false,false,true,1,0,-1
pottery,3,1,22,2,0,11,5,1,false,false,true,false,2,0,-1
pottery,4,1,0,1,0,1,1,1,false,false,false,true,1,0,-1
pottery,5,1,24,2,0,20,5,1,false,true,false,false,2,0,-1
